City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
292,novaya lyalya,59.055,60.599,-32.88,96,97,2.66,RU,1702314533
293,noble,35.1392,-97.3948,10.2,39,0,2.57,US,1702314321
294,bolnisi,41.4479,44.5384,7.77,93,100,1.91,GE,1702314533
295,skelleftea,64.7507,20.9528,-6.8,93,75,1.03,SE,1702314533
296,vila franca do campo,37.7167,-25.4333,18.27,99,11,5.21,PT,1702314534
297,muscat,23.6139,58.5922,24.01,57,93,1.47,OM,1702314404
298,tillaberi,14.2117,1.4531,28.67,13,0,4.81,NE,1702314534
299,dar chioukh,34.8964,3.4854,15.27,28,0,3.53,DZ,1702314534
300,el calafate,-50.3408,-72.2768,10.96,48,100,3.54,AR,1702314534
301,nova xavantina,-14.6667,-52.35,37.08,33,90,2.76,BR,1702314534
302,san antonio,29.4241,-98.4936,16.78,30,0,3.6,US,1702314377
303,edd,13.9297,41.6925,28.24,55,59,8.62,ER,1702314535
304,ujar,40.519,47.6542,11.1,71,100,3.56,AZ,1702314535
305,al wakrah,24.85,51.3333,22.05,54,75,3.95,QA,1702314281
306,cowra,-33.8333,148.6833,19.99,76,0,3.4,AU,1702314535
307,biltine,14.5333,20.9167,24.26,15,6,4.1,TD,1702314535
308,robore,-18.3333,-59.75,31.05,66,75,0.0,BO,1702314536
309,xilin hot,43.9667,116.0333,-18.06,98,93,1.4,CN,1702314536
310,betio village,1.358,172.9211,27.02,74,93,1.69,KI,1702314536
311,sarkand,45.41,79.9186,-7.6,97,100,1.08,KZ,1702314536
312,vila velha,-20.3297,-40.2925,29.97,76,75,5.66,BR,1702314536
313,nema,57.5067,50.5011,-22.59,88,74,4.88,RU,1702314537
314,chittaurgarh,24.8833,74.6333,17.32,38,12,1.79,IN,1702314439
315,conception bay south,47.4999,-52.9981,10.51,96,100,9.42,CA,1702314537
316,savannah,32.0835,-81.0998,12.23,54,0,4.12,US,1702314534
317,kinel',53.2333,50.65,-17.42,89,89,5.34,RU,1702314537
318,alofi,-19.0595,-169.9187,26.03,85,100,7.64,NU,1702314537
319,kirensk,57.7853,108.1119,-32.8,100,98,0.89,RU,1702314537
320,mhamid,29.82,-5.72,21.97,25,73,2.59,MA,1702314538
321,alaghsas,17.0187,8.0168,21.93,25,0,9.34,NE,1702314538
322,colonia,50.9333,6.95,10.49,84,75,2.57,DE,1702314353
323,ketchikan,55.3422,-131.6461,2.41,86,100,3.09,US,1702314538
324,elko,41.0002,-115.5012,-0.2,64,23,1.34,US,1702314538
325,vallenar,-28.5708,-70.7581,30.31,24,0,3.41,CL,1702314538
326,manaure,11.7751,-72.4445,31.33,54,1,11.3,CO,1702314538
327,soure,-0.7167,-48.5233,29.64,67,51,6.88,BR,1702314539
328,ostersund,63.1792,14.6357,-3.75,100,100,4.63,SE,1702314245
